"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Services/care";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2018";"    0.01";"    0.01";"       3";"       4"
"Services/care";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2019";"    0.01";"    0.01";"       3";"       3"
"Services/care";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2020";"    0.01";"    0.01";"       4";"       4"
"Services/care";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2021";"    0.01";"    0.01";"       4";"       5"
"Services/care";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2021";"    0.01";"    0.01";"       3";"       3"
"Services/care";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2021";"    0.01";"    0.01";"       3";"       3"
"Services/care";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Services/care";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";"    0.56";"    3.13";"     206";"    1141"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";"    0.54";"    3.13";"     199";"    1142"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";"    0.55";"    2.48";"     202";"     908"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";"    0.56";"    2.59";"     205";"     944"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.58";"    2.56";"     211";"     933"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.55";"    2.37";"     201";"     864"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.56";"    1.88";"     205";"     689"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.58";"    2.02";"     213";"     737"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.59";"    3.05";"     216";"    1114"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.57";"    3.01";"     206";"    1099"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.58";"    2.41";"     211";"     881"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.58";"    2.64";"     212";"     965"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.57";"    3.18";"     209";"    1161"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.56";"    3.63";"     205";"    1323"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.56";"    2.56";"     204";"     938"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.57";"    2.40";"     209";"     874"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.54";"    3.66";"     196";"    1337"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2019";"    0.52";"    3.59";"     191";"    1310"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2020";"    0.52";"    2.94";"     192";"    1074"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2021";"    0.53";"    3.06";"     194";"    1116"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Not urbanised";"2018";"    0.48";"    3.54";"     174";"    1293"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Not urbanised";"2019";"    0.47";"    3.70";"     171";"    1350"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Not urbanised";"2020";"    0.50";"    3.29";"     182";"    1203"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Total";"Value";"Not urbanised";"2021";"    0.48";"    3.30";"     175";"    1205"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.20";"    1.52";"      71";"     554"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.20";"    1.52";"      72";"     556"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.20";"    1.37";"      74";"     500"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.20";"    1.41";"      73";"     513"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.12";"    0.95";"      44";"     348"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.12";"    0.92";"      46";"     336"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.12";"    0.78";"      44";"     286"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.12";"    0.84";"      44";"     307"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.19";"    1.42";"      71";"     519"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.20";"    1.40";"      72";"     511"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.20";"    1.28";"      74";"     470"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.20";"    1.42";"      73";"     517"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    0.22";"    1.59";"      81";"     580"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    0.23";"    1.79";"      82";"     652"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.24";"    1.53";"      86";"     561"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.23";"    1.32";"      84";"     483"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    0.24";"    2.01";"      88";"     735"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    0.25";"    2.00";"      92";"     731"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.25";"    1.81";"      92";"     661"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    0.26";"    1.88";"      94";"     685"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    0.24";"    2.07";"      88";"     755"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    0.23";"    2.01";"      84";"     733"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    0.27";"    2.04";"      97";"     748"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    0.24";"    2.12";"      86";"     774"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.06";"    0.74";"      23";"     269"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.06";"    0.78";"      22";"     284"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.06";"    0.52";"      20";"     191"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.05";"    0.55";"      20";"     201"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"    0.04";"    0.47";"      16";"     173"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"    0.04";"    0.54";"      15";"     196"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"    0.04";"    0.37";"      15";"     136"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"    0.04";"    0.43";"      16";"     157"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"    0.07";"    0.71";"      24";"     258"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"    0.06";"    0.69";"      23";"     253"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"    0.06";"    0.54";"      22";"     198"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"    0.05";"    0.55";"      20";"     202"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"    0.08";"    0.83";"      28";"     303"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"    0.07";"    0.95";"      24";"     346"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"    0.07";"    0.56";"      24";"     205"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"    0.05";"    0.49";"      19";"     178"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"    0.07";"    0.96";"      27";"     352"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"    0.07";"    0.87";"      25";"     318"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"    0.06";"    0.55";"      20";"     201"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"    0.06";"    0.66";"      22";"     240"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"    0.07";"    0.85";"      27";"     311"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"    0.08";"    1.24";"      30";"     453"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"    0.06";"    0.78";"      23";"     286"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"    0.06";"    0.78";"      21";"     284"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";"    0.00";"    0.23";"       2";"      82"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";"    0.00";"    0.22";"       2";"      80"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";"    0.00";"    0.08";"       1";"      29"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";"    0.00";"    0.09";"       1";"      33"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2018";"    0.01";"    0.33";"       2";"     120"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2019";"    0.01";"    0.19";"       2";"      68"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2021";"    0.00";"    0.09";"       1";"      32"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2018";"    0.00";"    0.22";"       2";"      79"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2019";"    0.01";"    0.30";"       2";"     109"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"    0.01";"    0.10";"       5";"      38"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.01";"    0.09";"       4";"      32"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"    0.01";"    0.04";"       2";"      15"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"    0.01";"    0.06";"       2";"      20"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"    0.03";"    0.18";"      11";"      65"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"    0.03";"    0.18";"      10";"      67"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"    0.02";"    0.09";"       6";"      33"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2021";"    0.01";"    0.09";"       5";"      33"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2018";"    0.01";"    0.09";"       4";"      32"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2019";"    0.01";"    0.08";"       3";"      28"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2020";"    0.00";"    0.04";"       2";"      13"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Strongly urbanised";"2021";"    0.01";"       .";"       2";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2018";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2019";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Moderately urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2018";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2019";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Hardly urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2018";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2019";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bus/metro";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2018";"    0.17";"    0.35";"      61";"     129"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2019";"    0.16";"    0.33";"      57";"     121"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";"    0.15";"    0.31";"      57";"     114"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";"    0.15";"    0.30";"      53";"     109"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2018";"    0.18";"    0.36";"      66";"     133"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2019";"    0.17";"    0.35";"      62";"     126"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2020";"    0.17";"    0.32";"      60";"     118"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Extremely urbanised";"2021";"    0.15";"    0.31";"      56";"     113"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2018";"    0.19";"    0.40";"      68";"     147"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2019";"    0.17";"    0.37";"      64";"     136"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2020";"    0.17";"    0.33";"      62";"     119"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Strongly urbanised";"2021";"    0.16";"    0.32";"      57";"     118"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2018";"    0.17";"    0.36";"      62";"     132"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2019";"    0.17";"    0.35";"      62";"     128"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2020";"    0.16";"    0.32";"      57";"     117"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Moderately urbanised";"2021";"    0.16";"    0.31";"      60";"     114"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2018";"    0.14";"    0.30";"      52";"     111"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2019";"    0.13";"    0.28";"      46";"     101"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2020";"    0.14";"    0.29";"      49";"     105"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Hardly urbanised";"2021";"    0.12";"    0.25";"      45";"      92"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2018";"    0.10";"    0.25";"      38";"      90"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2019";"    0.10";"    0.23";"      37";"      84"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2020";"    0.11";"    0.26";"      41";"      95"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Bike";"Value";"Not urbanised";"2021";"    0.11";"    0.25";"      40";"      92"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";"    0.11";"    0.10";"      40";"      38"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";"    0.10";"    0.09";"      37";"      34"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";"    0.12";"    0.10";"      45";"      37"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";"    0.14";"    0.12";"      52";"      45"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2018";"    0.18";"    0.18";"      67";"      64"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2019";"    0.17";"    0.15";"      61";"      55"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2020";"    0.20";"    0.17";"      74";"      64"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Extremely urbanised";"2021";"    0.23";"    0.20";"      85";"      74"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2018";"    0.11";"    0.11";"      42";"      41"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2019";"    0.10";"    0.10";"      38";"      37"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2020";"    0.13";"    0.10";"      46";"      38"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Strongly urbanised";"2021";"    0.15";"    0.13";"      53";"      47"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2018";"    0.08";"    0.07";"      30";"      27"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2019";"    0.08";"    0.07";"      29";"      24"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2020";"    0.09";"    0.07";"      32";"      26"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Moderately urbanised";"2021";"    0.11";"    0.09";"      39";"      33"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2018";"    0.06";"    0.05";"      22";"      20"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2019";"    0.06";"    0.05";"      21";"      20"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2020";"    0.07";"    0.06";"      26";"      22"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Hardly urbanised";"2021";"    0.08";"    0.07";"      29";"      25"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2018";"    0.04";"       .";"      15";"       ."
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2019";"    0.04";"    0.04";"      16";"      13"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2020";"    0.05";"    0.04";"      18";"      14"
"Shopping, groceries, funshopping.";"Population 6 years or older";"Walking";"Value";"Not urbanised";"2021";"    0.06";"    0.05";"      21";"      17"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";"    0.23";"    2.08";"      83";"     759"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";"    0.22";"    2.05";"      81";"     750"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";"    0.14";"    1.02";"      50";"     375"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";"    0.14";"    1.17";"      52";"     426"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2018";"    0.22";"    1.76";"      82";"     643"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2019";"    0.23";"    1.72";"      83";"     629"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2020";"    0.13";"    0.83";"      49";"     303"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2021";"    0.14";"    0.92";"      51";"     337"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2018";"    0.23";"    1.93";"      83";"     703"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2019";"    0.23";"    2.08";"      82";"     759"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2020";"    0.14";"    0.92";"      51";"     338"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2021";"    0.15";"    1.17";"      56";"     426"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2018";"    0.22";"    2.08";"      81";"     758"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2019";"    0.23";"    2.03";"      82";"     740"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2020";"    0.14";"    0.98";"      50";"     360"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2021";"    0.14";"    1.22";"      53";"     447"
"Attending education/courses";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2018";"    0.23";"    2.38";"      84";"     869"
